s_no,name_nick_name,father_namehusband_name,address,age,firdd_no,us,police_station,name_of_io,rank_of_io,mobile_no_of_io,remarks_pc_remand_formal_arrest_bail_etc
1,Rakesh Yadav,Lalji Yadav,"Kondli, Delhi",24,DD/90A,BNSS 126/170,PS Parliament Street,SI Sandeep,Inspector,,Bail
2,Devender Singh,Prakash Singh,"Gazipur Dairy Farm, Delhi",27,DD/91A,BNSS 126/169,PS Parliament Street,ASI Satish,Inspector,,Bail
3,Gaurav Kumar,Jai Kumar,"Kalyanpuri, Delhi",22,DD/92A,BNSS 109G,PS Parliament Street,SI Harish,Inspector,,Bail
4,Vinay @ Vicky,Vijay Kumar,"Mayur Vihar, Delhi",29,DD/93A,BNSS 110G,PS Parliament Street,SI Vijay Singh,Inspector,,JC
5,Jeetu Kumar,Satbir Singh,"Gazipur, Delhi",30,DD/94A,DP Act 92/97,PS Parliament Street,ASI Satish,Inspector,,Bail
6,Sanjay Verma,Ram Verma,"Mandawali, Delhi",28,FIR/EX/2026/0011,Sec 40 Excise Act,PS Parliament Street,HC Dinesh,Inspector,,Bail
7,Kalu Ram,Shankar Lal,"Kalyanpuri, Delhi",31,FIR/EX/2026/0012,Sec 33 Excise Act,PS Parliament Street,HC Dinesh,Inspector,,Bail
8,Pappu @ Shooter,Bhagat Singh,"Khoda Colony, UP",23,FIR/ARMS/2026/0013,Sec 25/54 Arms Act,PS Parliament Street,SI Harish,Inspector,,JC
9,Bobby Singh,Gurnam Singh,"Mayur Vihar, Delhi",40,FIR/GAM/2026/0014,Sec 12 Gambling Act,PS Parliament Street,ASI Satish,Inspector,,Bail
10,Vicky Dev,Laxman Dev,"Paharganj, Delhi",33,FIR/NDPS/2026/0008,Sec 20 NDPS Act,PS Parliament Street,SI Harish,Inspector,,JC
11,John Doe,Richard Doe,"Noida Sec 62, UP",28,FIR/2026/0125,BNS 103,PS Parliament Street,SI Vijay Singh,Inspector,,Judicial Custody
12,Madan Lal,Sohan Lal,"Kalyanpuri, Delhi",32,DD/45B,BNSS 109,PS Parliament Street,ASI Dharam Singh,Inspector,,Bail
13,Karan @ Kalu,Charan Singh,"Trilokpuri, Delhi",35,FIR/2024/0410,BNS 303/PO,PS Parliament Street,SI Rajesh,Inspector,,Judicial Custody
14,Sohan Lal,Mohan Lal,"Shashi Garden, Delhi",29,FIR/2026/0126,BNS 309,PS Parliament Street,SI Harish,Inspector,,Police Custody
15,Rinku (Name Changed),Baldev Singh,"Kalyanpuri J.J. Cluster, Delhi",16,FIR/2026/0127,BNS 303 (Theft),PS Parliament Street,SI Naveen Malik,Inspector,,Bail by JJB
16,Vikram Adityan,Adityan Pillai,"Dwarka Sector 10, Delhi",26,FIR/CYBER/2026/0010,BNS 318(4) / IT Act 66D,PS Parliament Street,SI Cyber Cell,Inspector,,JC
